Designator,Mid X,Mid Y,Layer,Rotation
D105,37.7531mm,49.5649mm,Top,180.0
D107,43.905mm,55.0895mm,Bottom,180.0
D104,37.7531mm,47.7649mm,Top,180.0
D103,37.7531mm,45.9649mm,Top,180.0
C140,45.4mm,51.400000000000006mm,Bottom,0.0
C132,42.9675mm,47.7751mm,Bottom,90.0
C136,42.9675mm,45.6999mm,Bottom,270.0
C127,53.6mm,38.7438mm,Bottom,0.0
C138,29.1339mm,54.7722mm,Bottom,90.0
C130,43.6175mm,40.6535mm,Bottom,0.0
C131,53.6mm,37.6mm,Bottom,0.0
C122,43.6175mm,42.8087mm,Bottom,180.0
C114,59.4683mm,52.6mm,Top,0.0
C103,33.1mm,58.0mm,Bottom,90.0
C113,59.4683mm,53.8mm,Top,180.0
C102,33.3mm,50.6745mm,Bottom,180.0
U105,49.0094mm,46.650000000000006mm,Top,270.0
D415,17.7mm,48.7mm,Bottom,270.0
R428,18.6844mm,35.2545mm,Bottom,90.0
R427,5.55mm,33.9mm,Bottom,0.0
R426,17.0758mm,34.2599mm,Top,270.0
R425,15.7677mm,41.375mm,Top,90.0
R424,15.7677mm,43.6721mm,Top,270.0
LED4,4.0081mm,33.0111mm,Top,270.0
LED3,17.0758mm,36.4092mm,Top,90.0
LED2,16.8491mm,41.4mm,Top,90.0
LED1,16.8491mm,43.6471mm,Top,270.0
R422,9.8584mm,32.9mm,Bottom,180.0
C426,16.09mm,38.3mm,Top,0.0
C425,13.4mm,38.3mm,Top,180.0
F410,10.557mm,46.5668mm,Top,0.0
C415,15.7234mm,32.6mm,Bottom,0.0
C414,14.7484mm,42.11mm,Bottom,180.0
U411,13.3222mm,37.25mm,Bottom,90.0
D410,6.2mm,46.2668mm,Bottom,180.0
R411,6.2984mm,49.166799999999995mm,Bottom,270.0
D417,8.9484mm,49.4mm,Bottom,180.0
C410,14.193mm,47.46mm,Bottom,180.0
D412,9.85mm,50.0168mm,Top,180.0
R410,7.0734mm,50.05mm,Top,0.0
D413,9.85mm,48.3918mm,Top,180.0
C411,8.9234mm,47.6mm,Bottom,0.0
R413,8.9234mm,46.0668mm,Bottom,0.0
D414,6.4mm,47.6mm,Bottom,0.0
D418,10.129999999999999mm,42.4mm,Top,0.0
D416,15.0016mm,46.493700000000004mm,Top,180.0
U410,14.5984mm,49.1mm,Top,180.0
C412,14.193mm,49.5mm,Bottom,180.0
C413,12.2234mm,48.6629mm,Top,90.0
D411,6.5484mm,47.591499999999996mm,Top,0.0
U420,7.4634mm,38.4918mm,Bottom,180.0
R420,11.5734mm,46.9169mm,Bottom,90.0
C429,9.7584mm,33.9mm,Bottom,0.0
C427,10.479700000000001mm,47.1019mm,Bottom,270.0
C428,7.5693mm,33.9mm,Bottom,180.0
C423,8.3966mm,43.9918mm,Bottom,90.0
C421,9.5882mm,43.9918mm,Bottom,90.0
C422,10.7797mm,43.9918mm,Bottom,90.0
C424,7.2mm,43.9918mm,Bottom,270.0
R421,10.954699999999999mm,42.230000000000004mm,Bottom,0.0
R423,7.6693mm,32.9mm,Bottom,180.0
D420,9.2mm,31.9mm,Top,0.0
C420,6.15mm,44.4mm,Bottom,270.0
L420,14.1mm,44.3mm,Bottom,180.0
D421,14.45mm,33.9392mm,Top,270.0
L421,8.7mm,36.5mm,Top,0.0
D752,86.75mm,56.5mm,Bottom,90.0
D753,83.25mm,52.55mm,Bottom,270.0
Q752,83.25mm,56.5mm,Bottom,90.0
Q753,86.75mm,52.55mm,Bottom,90.0
