Designator,Mid X,Mid Y,Layer,Rotation
C226,43.48119mm,43.61119mm,Bottom,270.0
C227,45.63129mm,43.61119mm,Bottom,270.0
C228,46.69649mm,40.85609mm,Bottom,90.0
C212,37.58129mm,43.61119mm,Bottom,270.0
C213,38.68119mm,43.61119mm,Bottom,270.0
C214,40.83129mm,43.61119mm,Bottom,270.0
C215,41.87559mm,40.85609mm,Bottom,90.0
C200,27.98129mm,43.61119mm,Bottom,270.0
C201,29.08119mm,43.61119mm,Bottom,270.0
C202,31.23129mm,43.61119mm,Bottom,270.0
C203,32.27169mm,40.85609mm,Bottom,90.0
C195,39.83129mm,49.06119mm,Bottom,270.0
C190,53.93119mm,48.911190000000005mm,Bottom,270.0
C185,32.73119mm,49.06119mm,Bottom,270.0
C180,46.93119mm,49.06119mm,Bottom,270.0
C142,52.18119mm,39.86119mm,Bottom,270.0
C141,50.98119mm,39.86119mm,Bottom,270.0
C139,49.78129mm,39.86119mm,Bottom,90.0
C135,48.58119mm,39.86119mm,Bottom,270.0
C211,37.08929mm,40.85609mm,Bottom,90.0
C210,36.03129mm,43.61119mm,Bottom,270.0
C209,33.881190000000004mm,43.61119mm,Bottom,270.0
C208,32.78129mm,43.61119mm,Bottom,270.0
C147,43.53119mm,57.269890000000004mm,Bottom,180.0
F101,28.48119mm,70.45839000000001mm,Bottom,90.0
R134,37.73119mm,69.96119mm,Bottom,0.0
R133,37.73119mm,71.13619mm,Bottom,0.0
C133,37.881190000000004mm,67.85119mm,Bottom,90.0
R131,44.677189999999996mm,53.20499mm,Bottom,180.0
R130,37.98129mm,58.38619mm,Bottom,90.0
R129,37.98129mm,54.51119mm,Bottom,90.0
Y101,40.26859mm,66.27859000000001mm,Bottom,0.0
C116,41.20979mm,64.78979000000001mm,Bottom,180.0
C115,39.34559mm,64.80349000000001mm,Bottom,0.0
C124,43.53119mm,56.13009mm,Bottom,0.0
R121,53.206590000000006mm,72.63819000000001mm,Bottom,180.0
R106,47.03119mm,70.78619mm,Bottom,0.0
J101,52.381190000000004mm,71.51119mm,Top,180.0
C108,39.48119mm,67.86119000000001mm,Bottom,0.0
R105,57.43029mm,55.242290000000004mm,Top,0.0
R104,57.23029mm,54.05229mm,Top,0.0
R103,57.43029mm,52.94229mm,Top,0.0
R125,57.98119mm,41.381190000000004mm,Top,270.0
C104,31.83119mm,72.46119mm,Bottom,90.0
C137,39.17639mm,52.16969mm,Top,0.0
D101,28.61069mm,66.70569mm,Bottom,180.0
C101,55.57279mm,72.63819000000001mm,Bottom,180.0
R102,27.40869mm,65.13569000000001mm,Bottom,180.0
R101,37.98129mm,62.26119mm,Bottom,270.0
D102,57.28119mm,71.26119mm,Top,90.0
Y102,42.92499mm,61.247690000000006mm,Bottom,90.0
R122,57.28119mm,51.06119mm,Bottom,0.0
R123,54.99099mm,49.037090000000006mm,Bottom,270.0
R127,43.08119mm,66.96119mm,Bottom,180.0
R128,46.75899mm,53.20499mm,Bottom,180.0
D106,35.434290000000004mm,65.82609000000001mm,Top,180.0
D105,35.434290000000004mm,64.02609000000001mm,Top,180.0
